Question,Answer
Who is the current President of Sri Lanka?,Ranil Wickremesinghe
What is the name of the operation launched by India to evacuate its citizens from Sudan in 2024?,Operation Kavach
Who won the Nobel Prize in Literature in 2024?,Anne Carson
What was the name of the cyclone that hit the Indian east coast in May 2024?,Cyclone Yaas
Who is the current CEO of Twitter?,Linda Yaccarino
Which country hosted the 2024 G20 summit?,Brazil
Which Indian state became the first to launch a comprehensive e-governance platform in 2024?,Kerala
Who was the winner of the 2024 ICC Men's T20 World Cup?,Australia
Which Indian state launched the 'Green Budget' initiative in 2024?,Delhi
Who is the current United Nations Secretary-General?,António Guterres
What is the name of the latest Mars mission launched by NASA in 2024?,Mars 2024
Which Indian state launched the 'Mukhyamantri Yuva Swavalamban Yojana' in 2024?,Gujarat
Who is the current Chairperson of the World Health Organization?,Tedros Adhanom Ghebreyesus
Which country recently joined the BRICS group in 2024?,Argentina
Who is the current President of the European Commission?,Ursula von der Leyen
What is the name of the recently launched initiative by India to promote electric vehicles?,FAME India Phase II
Who is the current President of Brazil?,Luiz Inácio Lula da Silva
What is the name of the latest UN climate change report released in 2024?,Climate Change 2024
Who won the 2024 Booker Prize?,Richard Powers
Which country recently passed a law to ban single-use plastics by 2024?,Canada
Who is the current President of the World Bank?,Ajay Banga
What is the name of the Indian state's initiative to promote renewable energy launched in 2024?,Surya Gujarat
Who is the current Director-General of UNESCO?,Audrey Azoulay
What is the name of the first Indian space mission to study the Sun launched in 2024?,Aditya-L1
Who was the founder of the Maurya Empire?,Chandragupta Maurya
What was the original name of Swami Vivekananda?,Narendranath Datta
In which year did the Battle of Plassey take place?,1757
Who was the first female ruler of India?,Razia Sultana
Who wrote the famous historical text 'Rajatarangini'?,Kalhana
Which Mughal emperor built the Red Fort in Delhi?,Shah Jahan
Who was the founder of the Chola Dynasty?,Vijayalaya Chola
In which year did the Jallianwala Bagh massacre occur?,1919
Who was the first Governor-General of independent India?,Lord Mountbatten
What was the capital of the Vijayanagara Empire?,Hampi
Who was the last ruler of the Maurya Dynasty?,Brihadratha Maurya
Who wrote 'Arthashastra'?,Chanakya
Which Indian ruler is known as the 'Napoleon of India'?,Samudragupta
Who was the first Indian to receive a Nobel Prize?,Rabindranath Tagore
What was the original name of Mahatma Gandhi?,Mohandas Karamchand Gandhi
In which year did the Quit India Movement begin?,1942
Who was the first Indian woman to become a governor of a state?,Sarojini Naidu
What is the name of the ancient Indian text on medicine?,Sushruta Samhita
Who was the first Indian to go to space?,Rakesh Sharma
What is the capital of the Pallava Dynasty?,Kanchipuram
Which Indian freedom fighter was called the 'Lion of Punjab'?,Lala Lajpat Rai
Who was the last Governor-General of independent India?,Chakravarti Rajagopalachari
In which year did India win its first Cricket World Cup?,1983
Who was the first Indian woman to climb Mount Everest?,Bachendri Pal
What is the name of the autobiography of Jawaharlal Nehru?,An Autobiography
Who is known as the 'Iron Man of India'?,Sardar Vallabhbhai Patel
What was the original name of the famous Indian architect Edwin Lutyens?,Sir Edwin Landseer Lutyens
In which year was the Indian National Congress founded?,1885
Who was the first Indian to win an Oscar?,Bhanu Athaiya
What was the original name of the ancient city of Patna?,Pataliputra
Who was the founder of the Mughal Empire?,Babur
In which year did the Battle of Panipat take place?,1526
Who was the first Indian woman to win a Nobel Prize?,Mother Teresa
Who is known as the 'Father of the Indian Constitution'?,B. R. Ambedkar
In which year did India adopt its constitution?,1950
Who was the first President of India?,Dr. Rajendra Prasad
Which Indian state was the first to implement the Panchayati Raj system?,Rajasthan
Who was the first Chief Election Commissioner of India?,Sukumar Sen
In which year did India become a republic?,1950
Who was the first woman Speaker of the Lok Sabha?,Meira Kumar
Who is known as the 'Missile Man of India'?,A. P. J. Abdul Kalam
What is the name of the law that provides for reservation in education and employment for the economically weaker sections?,EWS Reservation
Which constitutional amendment lowered the voting age in India from 21 to 18?,61st Amendment
Who was the first woman judge of the Supreme Court of India?,Justice M. Fathima Beevi
What is the term used for the introduction of a new bill in the Parliament?,First Reading
Who was the first Indian to serve as the President of the UN General Assembly?,Vijaya Lakshmi Pandit
What is the maximum strength of the Lok Sabha?,552
Who was the first woman Prime Minister of India?,Indira Gandhi
What is the name of the tax levied on goods and services in India?,GST (Goods and Services Tax)
Which organization releases the Human Development Report?,UNDP (United Nations Development Programme)
Who is known as the 'Father of the Indian Green Revolution'?,M. S. Swaminathan
What is the name of the Indian initiative to promote financial inclusion?,Pradhan Mantri Jan Dhan Yojana
Who is the author of the book 'Planned Economy for India'?,M. Visvesvaraya
What is the name of the Indian government's initiative to support start-ups?,Startup India
Who is the Chairman of the NITI Aayog?,Prime Minister of India
What is the full form of SEZ?,Special Economic Zone
Which state has the highest per capita income in India?,Goa
Who is the current Chief Economic Adviser to the Government of India?,V. Anantha Nageswaran
What is the name of the government scheme aimed at developing smart cities in India?,Smart Cities Mission
Who is the author of the book 'The Great Indian Middle Class'?,Pavan K. Varma
What is the name of the central bank of India?,Reserve Bank of India
Which organization releases the World Economic Outlook report?,International Monetary Fund (IMF)
Who was the first sociologist to use the term 'sociology'?,Auguste Comte
What is the name of the theory that emphasizes the role of social structures in shaping individual behavior?,Structural Functionalism
Who is known as the 'Father of Modern Sociology'?,Emile Durkheim
What is the name of the book written by Max Weber on the relationship between religion and capitalism?,The Protestant Ethic and the Spirit of Capitalism
Who developed the theory of 'Symbolic Interactionism'?,Herbert Blumer
What is the term used for the process by which individuals learn and internalize the values and norms of their society?,Socialization
What is the name of the sociological perspective that focuses on power and inequality in society?,Conflict Theory
Who wrote the book 'Sociological Imagination'?,C. Wright Mills
What is the term used for the study of population and its dynamics?,Demography
Who is the author of the book 'Social Structure'?,M. N. Srinivas
What is the name of the concept that refers to the ability to see the connection between individual experiences and larger social forces?,Sociological Imagination
Who developed the concept of 'Dramaturgy' in sociology?,Erving Goffman
What is the term used for the unequal distribution of wealth power and resources in society?,Social Inequality
Who is known for the theory of 'Double Consciousness'?,W. E. B. Du Bois
What is the name of the book written by Karl Marx that outlines his theory of capitalism and class struggle?,Das Kapital
Who is the author of the book 'The Division of Labor in Society'?,Emile Durkheim
What is the term used for the process by which social norms and values become internalized and taken for granted?,Institutionalization
Who developed the theory of 'Rational Choice' in sociology?,James Coleman
What is the term used for the study of social interactions and relationships within small groups?,Micro Sociology
Who wrote the book 'The Presentation of Self in Everyday Life'?,Erving Goffman
What is the name of the sociological perspective that focuses on the meanings and interpretations individuals give to their social world?,Symbolic Interactionism
